"geography","year","labWht","labNonWht","difference"
"Philadelphia",2017,58,58.5,-0.5
"Region",2005,67.2,61.6,5.6
"Region",2006,66.2,60.3,5.9
"Region",2007,66.6,61.3,5.4
"Region",2008,67.3,62.3,5
"Region",2009,68,62.2,5.8
"Region",2010,67.3,61.1,6.2
"Region",2011,66.5,60.9,5.6
"Region",2012,66.7,60.6,6.1
"Region",2013,66.6,62.1,4.6
"Region",2014,66.5,61.7,4.9
"Region",2015,66.4,61.6,4.8
"Region",2016,66,61.4,4.6
"Region",2017,65.4,62.4,3
"PA Suburban Counties",2005,68.6,66.7,1.9
"PA Suburban Counties",2006,67.7,64.2,3.5
"PA Suburban Counties",2007,68,65.4,2.6
"PA Suburban Counties",2008,68.4,69.2,-0.8
"PA Suburban Counties",2009,68.9,66.8,2.2
"PA Suburban Counties",2010,69,67.3,1.8
"PA Suburban Counties",2011,67.7,66.2,1.5
"PA Suburban Counties",2012,67.9,66.8,1.1
"PA Suburban Counties",2013,68.1,67.1,1
"PA Suburban Counties",2014,67.7,66,1.7
"PA Suburban Counties",2015,67.2,66.8,0.4
"PA Suburban Counties",2016,66.6,66.9,-0.3
"PA Suburban Counties",2017,67.5,68.5,-1
"NJ Suburban Counties",2005,68.6,69.8,-1.2
"NJ Suburban Counties",2006,67.5,64.2,3.3
"NJ Suburban Counties",2007,67.7,65,2.7
"NJ Suburban Counties",2008,69,67.8,1.2
"NJ Suburban Counties",2009,69.4,68.9,0.5
"NJ Suburban Counties",2010,68.3,67.5,0.8
"NJ Suburban Counties",2011,67.5,67.3,0.2
"NJ Suburban Counties",2012,67,64.6,2.4
"NJ Suburban Counties",2013,66.7,65.9,0.8
"NJ Suburban Counties",2014,67,65.7,1.4
"NJ Suburban Counties",2015,66.5,64.1,2.4
"NJ Suburban Counties",2016,66.9,64.4,2.5
"NJ Suburban Counties",2017,66.1,64.7,1.4
